Reaction,Annotation
rxn02986, Metabolism of cofactors and vitamins
rxn03194,
rxn30395, Carbohydrate metabolism
rxn06741,
rxn04705, Metabolism of cofactors and vitamins
rxn32171, Carbohydrate metabolism
rxn27772, Amino acid metabolism
rxn34233, Carbohydrate metabolism
rxn32050, Carbohydrate metabolism
rxn15478, Glycan biosynthesis and metabolism
rxn04483, Metabolism of terpenoids and polyketides
rxn22827, Amino acid metabolism
rxn33392,
rxn04357, Metabolism of terpenoids and polyketides
rxn11643, Metabolism of cofactors and vitamins
rxn46173,
rxn32386, Nucleotide metabolism
rxn04912, Lipid metabolism
rxn20016, Amino acid metabolism
rxn11595,
rxn42840,
rxn33557,
rxn31075,
rxn03043, Carbohydrate metabolism
rxn00004, Xenobiotics biodegradation and metabolites
rxn32104, Metabolism of cofactors and vitamins
rxn31243, Carbohydrate metabolism
rxn08392, Lipid metabolism
rxn22066, Metabolism of other amino acids
rxn31277, Lipid metabolism
rxn01522, Nucleotide metabolism
rxn47074,
rxn32185, Amino acid metabolism
rxn31250, Lipid metabolism
rxn07603, Biosynthesis of other secondary metabolites
rxn38981, Carbohydrate metabolism
rxn16798, Carbohydrate metabolism
rxn05305, Lipid metabolism
rxn38097,
rxn15368, Amino acid metabolism
rxn32421, Carbohydrate metabolism
rxn05327, Lipid metabolism
rxn00678, Carbohydrate metabolism
rxn36081,
rxn01220, Nucleotide metabolism
rxn01641, Amino acid metabolism
rxn01999, Metabolism of terpenoids and polyketides
rxn17648, Metabolism of cofactors and vitamins
rxn02478, Xenobiotics biodegradation and metabolites
rxn14169, Amino acid metabolism
rxn19982, Lipid metabolism
rxn07484, Xenobiotics biodegradation and metabolites
rxn31276, Lipid metabolism
rxn40099, Energy metabolism
rxn32682, Xenobiotics biodegradation and metabolites
rxn15131, Carbohydrate metabolism
rxn14250, Energy metabolism
rxn33098,
rxn01252, Metabolism of cofactors and vitamins
rxn33490, Energy metabolism
rxn16356, Nucleotide metabolism
rxn05242,
rxn33730, Amino acid metabolism
rxn01828, Carbohydrate metabolism
rxn04831, Xenobiotics biodegradation and metabolites
rxn28091, Carbohydrate metabolism
rxn05107, Amino acid metabolism
rxn06112, Biosynthesis of other secondary metabolites
rxn33907, Carbohydrate metabolism
rxn01989, Carbohydrate metabolism
rxn08766, Lipid metabolism
rxn16792, Carbohydrate metabolism
rxn34424,
rxn45616,
rxn07745, Biosynthesis of other secondary metabolites
rxn30532,
rxn02246, Amino acid metabolism
rxn32556, Nucleotide metabolism
rxn13940, Glycan biosynthesis and metabolism
rxn01305, Carbohydrate metabolism
rxn00682, Carbohydrate metabolism
rxn04586, Biosynthesis of other secondary metabolites
rxn01913, Carbohydrate metabolism
rxn31235, Carbohydrate metabolism
rxn03481, Carbohydrate metabolism
rxn13734,
rxn16355, Energy metabolism
rxn07363, Metabolism of terpenoids and polyketides
rxn10543, Metabolism of cofactors and vitamins
rxn34709, Lipid metabolism
rxn01753, Carbohydrate metabolism
rxn01648, Nucleotide metabolism
rxn30635, Amino acid metabolism
rxn07347, Metabolism of terpenoids and polyketides
rxn14050,
