Duration (Hours),PGY (Modified) SM,PGY (Modified) SM,PGY (Modified) SM,M. curtisii SM,M. curtisii SM,M. curtisii SM,F. vaginae SM,F. vaginae SM,F. vaginae SM,A. christensenii SM,A. christensenii SM,A. christensenii SM
24.09,0.03335,0.06435,0.03335,0.0388,0.0558,0.0443,0.040566667,0.047466667,-0.026633333,0.152733333,0.044533333,0.043533333
24.25,0.03015,0.06285,0.03015,0.036066667,0.063966667,0.045866667,0.031666667,0.048266667,-0.023833333,0.143833333,0.047533333,0.054833333
24.42,0.0331,0.0663,0.0331,0.040566667,0.058766667,0.051666667,0.033433333,0.047033333,-0.021366667,0.146933333,0.048633333,0.050733333
24.59,0.0297,0.0753,0.0297,0.0443,0.0715,0.0607,0.0333,0.0469,-0.0235,0.142533333,0.045433333,0.047733333
24.75,0.0318,0.0691,0.0318,0.044233333,0.067833333,0.059033333,0.032266667,0.049766667,-0.024633333,0.156266667,0.041666667,0.053166667
24.92,0.03555,0.07945,0.03555,0.0493,0.0757,0.065,0.030033333,0.045033333,-0.027066667,0.151733333,0.043233333,0.051133333
25.09,0.0333,0.0708,0.0333,0.034,0.0676,0.0525,0.023233333,0.045933333,-0.030166667,0.1709,0.0497,0.0517
25.25,0.03335,0.06705,0.03335,0.034633333,0.062133333,0.065833333,0.032133333,0.040933333,-0.020566667,0.155233333,0.053633333,0.054433333
25.42,0.041,0.0729,0.041,0.0481,0.0773,0.0687,0.026433333,0.051533333,-0.019566667,0.162666667,0.049666667,0.061566667
25.59,0.05315,0.07695,0.05315,0.048533333,0.076733333,0.070933333,0.034066667,0.042966667,-0.028133333,0.158933333,0.047833333,0.053233333
25.75,0.04335,0.07735,0.04335,0.062166667,0.078966667,0.085766667,0.032533333,0.049233333,-0.022066667,0.164133333,0.052433333,0.062233333
25.92,0.0614,0.08,0.0614,0.053966667,0.085066667,0.094066667,0.0393,0.0442,-0.0276,0.155733333,0.052633333,0.055733333
26.09,0.05695,0.08775,0.05695,0.0622,0.091,0.0953,0.041466667,0.052866667,-0.024933333,0.1785,0.0539,0.0592
26.25,0.0552,0.0877,0.0552,0.063,0.0866,0.105,0.034966667,0.049266667,-0.024633333,0.168633333,0.057733333,0.059633333
26.42,0.06025,0.09295,0.06025,0.0659,0.0953,0.1085,0.0371,0.0515,-0.017,0.169966667,0.059566667,0.052066667
26.59,0.0654,0.0942,0.0654,0.069266667,0.092266667,0.114166667,0.032166667,0.049466667,-0.023233333,0.1739,0.0676,0.0649
26.76,0.06215,0.09415,0.06215,0.070966667,0.094066667,0.118466667,0.028233333,0.045633333,-0.023466667,0.169133333,0.073633333,0.063133333
26.92,0.0657,0.1001,0.0657,0.0789,0.1059,0.1257,0.028366667,0.047566667,-0.026733333,0.178633333,0.084233333,0.072233333
27.09,0.07555,0.09845,0.07555,0.078966667,0.106766667,0.134166667,0.038233333,0.045033333,-0.031666667,0.1734,0.0768,0.0541
27.26,0.06745,0.11135,0.06745,0.084233333,0.116133333,0.139733333,0.039166667,0.051166667,-0.023533333,0.170733333,0.079333333,0.059533333
27.42,0.0773,0.1098,0.0773,0.093666667,0.122666667,0.138866667,0.026066667,0.048266667,-0.024433333,0.186233333,0.096333333,0.067233333
27.59,0.085,0.1162,0.085,0.091333333,0.123633333,0.151133333,0.0301,0.045,-0.0238,0.172933333,0.083633333,0.061033333
27.76,0.093,0.1222,0.093,0.0962,0.1253,0.1569,0.035433333,0.046933333,-0.027666667,0.179166667,0.106566667,0.072666667
27.92,0.0908,0.1264,0.0908,0.104066667,0.138766667,0.165466667,0.033966667,0.051666667,-0.027533333,0.173133333,0.085933333,0.061733333
28.09,0.0985,0.1262,0.0985,0.106466667,0.142766667,0.161766667,0.048666667,0.057766667,-0.028633333,0.166133333,0.098033333,0.055933333
